AnimalID,AnimalType,Breed,Color,EntryDate,ReleaseDate,OutcomeType,Sex,Age,Year,Month,IsAdopted
A689054,Cat,Domestic Shorthair Mix,White/Black,2014-09-28 15:47:00,2014-10-01 15:48:00,Transfer,Intact Female,6 months,2014,10,False
A710890,Dog,Great Pyrenees Mix,White,2015-08-29 13:15:00,2015-09-06 18:04:00,Adoption,Intact Male,3 years,2015,9,True
A683884,Dog,German Shepherd Mix,Black/Tan,2014-07-16 15:52:00,2014-09-07 14:37:00,Adoption,Neutered Male,2 years,2014,9,True
A714487,Cat,Domestic Shorthair Mix,Blue/White,2015-10-23 17:31:00,2015-10-29 11:59:00,Transfer,Intact Male,4 months,2015,10,False
A678965,Cat,Domestic Shorthair Mix,Calico,2014-05-14 15:04:00,2014-05-14 17:13:00,Transfer,Intact Female,3 weeks,2014,5,False
A724359,Dog,Feist/Beagle,Black/Brown,2016-04-16 10:59:00,2016-12-31 16:37:00,Adoption,Intact Male,4 months,2016,12,True
A724359,Dog,Feist/Beagle,Black/Brown,2016-04-16 10:59:00,2016-04-22 18:55:00,Adoption,Intact Male,4 months,2016,4,True
A724359,Dog,Feist/Beagle,Black/Brown,2016-04-16 10:59:00,2016-11-20 17:54:00,Adoption,Intact Male,4 months,2016,11,True
A668295,Cat,Domestic Shorthair Mix,Black/White,2013-12-01 14:38:00,2013-12-03 15:47:00,Transfer,Intact Female,2 years,2013,12,False
A676263,Dog,Pit Bull Mix,Blue/White,2014-04-07 11:57:00,2014-06-10 19:17:00,Adoption,Neutered Male,2 years,2014,6,True
A678439,Other,Raccoon Mix,Gray/Black,2014-05-09 09:05:00,2014-05-09 09:53:00,Euthanasia,Unknown,1 year,2014,5,False
A719013,Bird,Hawk,Brown/Yellow,2016-01-11 11:29:00,2016-01-17 18:01:00,Euthanasia,Unknown,2 years,2016,1,False
A736719,Dog,Labrador Retriever Mix,Tan/White,2016-10-16 10:37:00,2016-10-18 12:28:00,Return to Owner,Spayed Female,12 years,2016,10,False
A750451,Cat,Domestic Shorthair Mix,Cream/White,2017-05-27 13:16:00,2017-06-18 19:07:00,Adoption,Intact Male,1 month,2017,6,True
A707943,Dog,Rottweiler Mix,Black/Tan,2015-07-20 14:46:00,2015-07-24 16:50:00,Adoption,Intact Female,1 month,2015,7,True
A696333,Dog,Chihuahua Shorthair Mix,Brown/White,2015-02-03 10:19:00,2015-02-06 16:54:00,Transfer,Unknown,1 week,2015,2,False
A695485,Other,Bat Mix,Brown,2015-01-16 16:11:00,2015-01-18 09:05:00,Euthanasia,Unknown,1 year,2015,1,False
A737007,Cat,Domestic Medium Hair,Brown Tabby/White,2016-10-20 16:47:00,2016-11-19 12:16:00,Adoption,Intact Male,1 month,2016,11,True
A687298,Dog,Chihuahua Shorthair Mix,White/Cream,2014-10-07 12:22:00,2014-09-22 12:03:00,Return to Owner,Spayed Female,2 years,2014,9,False
A687298,Dog,Chihuahua Shorthair Mix,White/Cream,2014-10-07 12:22:00,2014-10-20 12:35:00,Adoption,Spayed Female,2 years,2014,10,True
A687298,Dog,Chihuahua Shorthair Mix,White/Cream,2014-10-07 12:22:00,2014-09-13 09:30:00,Adoption,Spayed Female,2 years,2014,9,True
A729943,Cat,Domestic Shorthair Mix,Blue Tabby,2016-06-25 23:09:00,2016-07-05 12:13:00,Transfer,Intact Male,10 years,2016,7,False
A738202,Cat,Domestic Medium Hair Mix,Black/White,2016-11-10 18:16:00,2016-11-10 18:35:00,Transfer,Unknown,2 weeks,2016,11,False
A675067,Dog,Italian Greyhound Mix,Gray,2014-03-22 14:24:00,2014-03-23 13:27:00,Transfer,Neutered Male,9 years,2014,3,False
A707779,Dog,Chihuahua Shorthair/Jack Russell Terrier,Tricolor,2015-07-17 15:57:00,2015-07-17 19:17:00,Return to Owner,Spayed Female,7 months,2015,7,False
A707779,Dog,Chihuahua Shorthair/Jack Russell Terrier,Tricolor,2015-07-17 15:57:00,2016-01-15 15:15:00,Adoption,Spayed Female,7 months,2016,1,True
A687805,Other,Rabbit Sh Mix,White/Black,2014-09-10 12:39:00,2014-09-10 12:52:00,Euthanasia,Unknown,1 year,2014,9,False
A722000,Cat,Domestic Shorthair Mix,Black/White,2016-03-09 07:28:00,2016-03-13 00:01:00,Transfer,Intact Female,1 year,2016,3,False
A724640,Cat,Domestic Shorthair Mix,Brown Tabby/Black,2016-04-20 08:19:00,2016-04-20 17:48:00,Transfer,Intact Male,2 weeks,2016,4,False
A729026,Cat,Domestic Shorthair Mix,Brown Tabby/White,2016-10-11 18:02:00,2016-10-22 16:00:00,Transfer,Neutered Male,5 months,2016,10,False
A729026,Cat,Domestic Shorthair Mix,Brown Tabby/White,2016-10-11 18:02:00,2016-07-09 19:58:00,Adoption,Neutered Male,5 months,2016,7,True
A729521,Cat,Domestic Shorthair Mix,Black,2016-06-19 16:13:00,2016-06-19 16:30:00,Euthanasia,Unknown,6 years,2016,6,False
A731789,Dog,Labrador Retriever Mix,Black,2016-07-27 15:06:00,2016-07-31 18:55:00,Adoption,Intact Female,1 month,2016,7,True
A689446,Cat,Domestic Shorthair Mix,Black/White,2014-10-04 11:29:00,2014-11-15 16:06:00,Adoption,Intact Female,3 weeks,2014,11,True
A699128,Cat,Domestic Shorthair Mix,Brown Tabby,2015-03-23 10:49:00,2015-03-24 09:00:00,Transfer,Intact Female,3 years,2015,3,False
A744010,Dog,Bull Terrier Mix,Black/White,2017-03-02 09:51:00,2017-03-15 00:00:00,Transfer,Neutered Male,4 years,2017,3,False
A709360,Other,Bat,Black/Brown,2015-08-07 22:41:00,2015-08-08 09:53:00,Disposal,Unknown,4 weeks,2015,8,False
A688747,Cat,Domestic Shorthair Mix,Brown Tabby,2014-09-23 11:29:00,2014-09-23 13:23:00,Transfer,Intact Female,3 weeks,2014,9,False
A739423,Cat,Domestic Shorthair Mix,Torbie,2016-12-02 16:30:00,2016-12-23 13:07:00,Adoption,Spayed Female,5 years,2016,12,True
A663237,Dog,Boston Terrier/Pembroke Welsh Corgi,Black/White,2014-01-05 12:20:00,2014-03-06 13:04:00,Return to Owner,Spayed Female,9 months,2014,3,False
A663237,Dog,Boston Terrier/Pembroke Welsh Corgi,Black/White,2014-01-05 12:20:00,2014-01-06 13:43:00,Return to Owner,Spayed Female,9 months,2014,1,False
A748160,Dog,Labrador Retriever Mix,Black/White,2017-04-30 11:04:00,2017-05-02 14:52:00,Return to Owner,Spayed Female,14 years,2017,5,False
A733066,Dog,Black Mouth Cur Mix,Tan/White,2016-08-27 11:44:00,2016-10-01 15:40:00,Transfer,Intact Female,4 years,2016,10,False
A664262,Cat,Domestic Shorthair Mix,Orange Tabby,2013-10-01 11:45:00,2013-10-01 12:59:00,Transfer,Intact Male,1 weeks,2013,10,False
A740708,Dog,German Shepherd/Great Pyrenees,Tan/White,2016-12-21 14:57:00,2016-12-26 14:43:00,Adoption,Intact Male,8 months,2016,12,True
A720351,Cat,Domestic Shorthair Mix,Orange Tabby/White,2016-02-07 14:03:00,2016-02-11 17:17:00,Adoption,Neutered Male,8 years,2016,2,True
A740584,Dog,Pit Bull Mix,Brown,2016-12-19 17:10:00,2016-12-23 12:42:00,Transfer,Intact Female,6 months,2016,12,False
A713772,Cat,Domestic Shorthair Mix,Calico,2015-10-12 16:55:00,2015-10-13 09:00:00,Transfer,Intact Female,2 years,2015,10,False
A732885,Cat,Domestic Shorthair Mix,Calico,2016-08-14 13:19:00,2016-08-14 19:12:00,Transfer,Unknown,1 weeks,2016,8,False
A667026,Cat,Domestic Shorthair Mix,Brown Tabby/White,2013-11-11 12:48:00,2013-11-16 14:26:00,Transfer,Intact Male,1 month,2013,11,False
A689869,Dog,Cairn Terrier Mix,Buff/White,2014-10-10 18:32:00,2014-10-18 19:04:00,Adoption,Intact Male,2 years,2014,10,True
A675229,Dog,Cairn Terrier Mix,Cream,2014-03-25 12:30:00,2014-04-02 11:29:00,Transfer,Intact Female,1 year,2014,4,False
A749815,Cat,Domestic Medium Hair Mix,Black,2017-05-20 08:15:00,2017-07-06 16:01:00,Adoption,Intact Female,4 weeks,2017,7,True
A758183,Dog,Labrador Retriever Mix,Brown,2017-09-12 14:43:00,2017-09-18 17:55:00,Adoption,Intact Male,1 year,2017,9,True
A675001,Other,Bat Mix,Brown,2014-03-21 12:37:00,2014-03-23 08:56:00,Disposal,Unknown,2 years,2014,3,False
A732427,Dog,Miniature Schnauzer/Miniature Poodle,Gray,2016-08-07 14:10:00,2016-08-12 17:32:00,Transfer,Intact Female,2 years,2016,8,False
A674020,Other,Skunk Mix,Black/White,2014-03-06 10:24:00,2014-03-06 11:08:00,Euthanasia,Unknown,1 year,2014,3,False
A667174,Dog,Chihuahua Shorthair Mix,Tan/White,2013-11-13 18:56:00,2013-11-17 17:54:00,Return to Owner,Intact Male,8 years,2013,11,False
A733963,Cat,Domestic Shorthair Mix,Black/White,2016-08-30 10:21:00,2016-09-05 17:53:00,Adoption,Intact Male,1 month,2016,9,True
A682807,Dog,German Shepherd Mix,Black/Brown,2014-07-03 12:29:00,2014-07-07 18:00:00,Adoption,Intact Male,4 months,2014,7,True
A668490,Cat,Domestic Shorthair Mix,Blue Tabby,2013-12-04 13:10:00,2013-12-06 17:25:00,Transfer,Unknown,3 months,2013,12,False
A728810,Cat,Domestic Shorthair Mix,Blue,2016-06-08 17:30:00,2016-06-10 15:11:00,Transfer,Intact Male,2 weeks,2016,6,False
A738231,Dog,Dachshund Mix,Tricolor,2016-11-11 13:54:00,2016-11-15 17:36:00,Adoption,Spayed Female,5 years,2016,11,True
A741062,Dog,American Bulldog Mix,White/Black,2016-12-27 15:41:00,2016-12-29 16:48:00,Return to Owner,Intact Male,6 years,2016,12,False
A692109,Dog,German Shepherd Mix,Tricolor,2014-11-14 15:59:00,2014-11-18 18:04:00,Adoption,Intact Female,2 years,2014,11,True
A711229,Cat,Domestic Shorthair Mix,Brown Tabby,2015-09-04 09:57:00,2015-09-19 13:57:00,Adoption,Intact Female,1 month,2015,9,True
A712578,Dog,Papillon Mix,White,2015-09-25 13:50:00,2015-09-26 14:37:00,Adoption,Spayed Female,1 year,2015,9,True
A741116,Cat,Domestic Shorthair Mix,Brown Tabby/White,2016-12-28 13:10:00,2017-01-14 08:56:00,Adoption,Neutered Male,8 years,2017,1,True
A742314,Dog,Labrador Retriever/Beagle,Black,2017-01-22 11:29:00,2017-01-19 19:06:00,Adoption,Neutered Male,1 year,2017,1,True
A742314,Dog,Labrador Retriever/Beagle,Black,2017-01-22 11:29:00,2017-01-22 15:39:00,Adoption,Neutered Male,1 year,2017,1,True
A684798,Dog,Chihuahua Shorthair Mix,Tricolor,2014-07-28 18:00:00,2014-07-31 18:00:00,Return to Owner,Intact Female,4 years,2014,7,False
A756300,Cat,Domestic Shorthair Mix,Black/White,2017-08-17 12:22:00,2017-08-19 11:48:00,Adoption,Intact Male,2 months,2017,8,True
A685223,Dog,German Shepherd Mix,Black/Tan,2014-08-04 13:00:00,2014-10-30 14:52:00,Adoption,Intact Female,6 years,2014,10,True
A687473,Dog,Pit Bull Mix,Black,2014-09-05 10:00:00,2014-09-06 14:07:00,Transfer,Intact Male,1 month,2014,9,False
A688567,Cat,Domestic Shorthair Mix,Black,2014-09-20 16:16:00,2014-09-27 14:33:00,Adoption,Intact Male,2 months,2014,9,True
A712173,Cat,Domestic Shorthair Mix,Black/White,2015-09-18 16:59:00,2015-10-01 11:50:00,Transfer,Intact Male,1 month,2015,10,False
A690875,Dog,Labrador Retriever/Border Collie,Black/White,2014-10-27 15:24:00,2014-11-08 14:24:00,Transfer,Intact Female,6 months,2014,11,False
A690875,Dog,Labrador Retriever/Border Collie,Black/White,2014-10-27 15:24:00,2014-11-02 17:33:00,Adoption,Intact Female,6 months,2014,11,True
A758038,Dog,Siberian Husky Mix,Black/White,2017-09-10 14:05:00,2017-09-14 16:55:00,Transfer,Intact Female,1 year,2017,9,False
A694101,Dog,Jack Russell Terrier Mix,Tricolor,2014-12-20 10:50:00,2014-12-20 17:50:00,Return to Owner,Spayed Female,3 years,2014,12,False
A666762,Cat,Domestic Shorthair Mix,Black/White,2013-11-06 17:52:00,2014-04-04 08:41:00,Adoption,Neutered Male,1 month,2014,4,True
A691803,Dog,Toy Fox Terrier Mix,White/Black,2014-11-09 17:53:00,2014-11-19 16:09:00,Adoption,Intact Female,3 years,2014,11,True
A695251,Cat,Domestic Shorthair Mix,Black,2015-01-12 11:03:00,2015-01-22 14:17:00,Transfer,Neutered Male,2 years,2015,1,False
A711896,Dog,Labrador Retriever/Rhod Ridgeback,Tan/White,2015-09-13 12:59:00,2015-09-14 18:08:00,Transfer,Intact Female,2 months,2015,9,False
A687800,Dog,Dachshund/Chihuahua Shorthair,White/Tan,2014-09-10 11:08:00,2014-09-24 18:59:00,Adoption,Intact Male,3 years,2014,9,True
A664941,Dog,Pit Bull Mix,Red/White,2015-04-12 12:49:00,2013-10-12 18:14:00,Return to Owner,Spayed Female,5 years,2013,10,False
A664941,Dog,Pit Bull Mix,Red/White,2015-04-12 12:49:00,2013-12-01 15:30:00,Return to Owner,Spayed Female,5 years,2013,12,False
A664941,Dog,Pit Bull Mix,Red/White,2015-04-12 12:49:00,2015-04-15 15:27:00,Return to Owner,Spayed Female,5 years,2015,4,False
A664941,Dog,Pit Bull Mix,Red/White,2015-04-12 12:49:00,2016-10-15 16:47:00,Adoption,Spayed Female,5 years,2016,10,True
A664941,Dog,Pit Bull Mix,Red/White,2015-04-12 12:49:00,2017-05-29 16:04:00,Adoption,Spayed Female,5 years,2017,5,True
A682068,Cat,Domestic Shorthair Mix,Blue,2014-06-23 18:13:00,2014-06-27 12:59:00,Transfer,Intact Male,5 months,2014,6,False
A683808,Cat,Domestic Medium Hair Mix,Blue/White,2014-07-15 15:38:00,2014-09-03 16:31:00,Adoption,Intact Male,1 year,2014,9,True
A722194,Cat,Domestic Shorthair Mix,Lynx Point,2016-03-12 13:09:00,2016-05-12 15:15:00,Adoption,Intact Female,2 weeks,2016,5,True
A705377,Dog,Chihuahua Shorthair Mix,Tan/White,2015-06-16 14:38:00,2015-06-24 17:34:00,Return to Owner,Intact Male,1 year,2015,6,False
A730870,Dog,Shih Tzu,Black/White,2018-01-21 14:20:00,2018-01-22 16:42:00,Return to Owner,Intact Female,2 years,2018,1,False
A764949,Dog,Labrador Retriever Mix,White/Brown,2018-01-09 16:29:00,2018-01-13 16:50:00,Adoption,Intact Male,2 months,2018,1,True
A721784,Other,Rabbit Sh Mix,Black/Tan,2016-03-04 12:14:00,2016-03-08 00:00:00,Transfer,Intact Male,1 year,2016,3,False
A664887,Cat,Domestic Shorthair Mix,Black,2013-10-10 13:48:00,2013-11-10 16:56:00,Adoption,Intact Female,1 month,2013,11,True
A683331,Cat,Domestic Shorthair Mix,Blue Tabby,2014-07-09 12:58:00,2014-07-21 10:43:00,Transfer,Intact Female,1 year,2014,7,False
A674012,Dog,Australian Cattle Dog,Blue Merle,2014-03-05 21:22:00,2014-03-13 18:14:00,Adoption,Intact Male,2 years,2014,3,True
A746979,Dog,Chihuahua Shorthair Mix,Brown Brindle,2017-04-12 10:06:00,2017-04-14 14:34:00,Adoption,Intact Male,1 year,2017,4,True
A759430,Dog,Labrador Retriever Mix,Black/White,2017-10-20 12:33:00,2017-10-28 12:06:00,Adoption,Spayed Female,2 years,2017,10,True
A759430,Dog,Labrador Retriever Mix,Black/White,2017-10-20 12:33:00,2017-10-16 15:58:00,Adoption,Spayed Female,2 years,2017,10,True
A758651,Dog,Pit Bull Mix,Brown/White,2017-09-19 17:36:00,2017-10-30 14:18:00,Adoption,Spayed Female,2 years,2017,10,True
A748338,Dog,Dachshund Mix,Black/Tan,2017-05-03 14:10:00,2017-05-09 18:27:00,Return to Owner,Intact Female,3 years,2017,5,False
A690816,Cat,Domestic Shorthair Mix,Brown Tabby/White,2014-10-26 14:37:00,2014-11-25 18:54:00,Adoption,Intact Female,1 month,2014,11,True
A726117,Dog,Rottweiler/German Shepherd,Black/Tan,2016-05-06 15:24:00,2016-05-25 12:16:00,Adoption,Spayed Female,5 years,2016,5,True
A752120,Dog,Labrador Retriever Mix,Black,2017-06-18 12:59:00,2017-06-20 15:11:00,Transfer,Intact Female,4 weeks,2017,6,False
A729374,Cat,Domestic Shorthair Mix,Brown Tabby,2017-05-03 12:00:00,2016-08-09 17:54:00,Adoption,Spayed Female,1 year,2016,8,True
A729374,Cat,Domestic Shorthair Mix,Brown Tabby,2017-05-03 12:00:00,2017-06-17 16:45:00,Adoption,Spayed Female,1 year,2017,6,True
A674023,Dog,Chihuahua Shorthair Mix,Red/White,2014-03-06 10:54:00,2014-03-15 17:13:00,Adoption,Intact Female,1 year,2014,3,True
A732826,Cat,Domestic Shorthair Mix,Black,2016-08-13 14:22:00,2016-09-24 16:01:00,Transfer,Intact Female,5 months,2016,9,False
A732826,Cat,Domestic Shorthair Mix,Black,2016-08-13 14:22:00,2016-09-10 16:31:00,Adoption,Intact Female,5 months,2016,9,True
A720321,Dog,Pit Bull Mix,Blue/White,2017-07-07 13:16:00,2017-07-15 21:29:00,Return to Owner,Spayed Female,3 years,2017,7,False
A727451,Cat,Domestic Shorthair Mix,Black,2016-05-22 13:04:00,2016-07-09 20:40:00,Adoption,Intact Male,1 month,2016,7,True
A702482,Dog,Basenji/Australian Cattle Dog,Red/White,2015-05-14 12:47:00,2015-05-25 11:18:00,Adoption,Neutered Male,11 months,2015,5,True
A702501,Dog,Pit Bull/Boxer,Tan/White,2015-05-14 15:36:00,2015-05-18 18:44:00,Return to Owner,Intact Female,2 years,2015,5,False
A728599,Cat,Domestic Shorthair Mix,Blue,2016-06-06 12:33:00,2016-06-06 12:54:00,Transfer,Unknown,2 days,2016,6,False
A724243,Dog,Shih Tzu/Chihuahua Shorthair,White/Black,2016-04-14 15:10:00,2016-05-01 12:16:00,Adoption,Intact Male,8 months,2016,5,True
